Host	% Time Up	% Time Down	% Time Unreachable	% Time Undetermined
Abmsrv	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
AdmonDCR	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
Alterno-GBM	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
Bio_Cafeteria1	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
Bio_Cafeteria2	97.574% (97.574%)	2.426% (2.426%)	0.000% (0.000%)	0.000%
Bio_Entrada1	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
Bio_Entrada2	54.949% (54.949%)	45.051% (45.051%)	0.000% (0.000%)	0.000%
Command-view	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
Core	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
CrmApp01	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
Nivel-1C1	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
Nivel-2C3	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
Nivel-3C1	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
Nivel-3C2	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
Nivel-3C3	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
Nivel-3C4	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
Nivel-4C2	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
Nivel-5C1	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
Nivel-6C1	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
Nivel-7C1	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
Nivel-8C1	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
Nivel-9C1	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
Nivel-pbC1	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
Nivel-pbC2	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
SWIFT	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
TorreDC	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
VMACH	99.755% (99.755%)	0.245% (0.245%)	0.000% (0.000%)	0.000%
VMAdmonDC	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
VMAeronautica	99.755% (99.755%)	0.245% (0.245%)	0.000% (0.000%)	0.000%
VMAsistenciaApp	99.973% (99.973%)	0.027% (0.027%)	0.000% (0.000%)	0.000%
VMBVDesa	96.885% (96.885%)	3.115% (3.115%)	0.000% (0.000%)	0.000%
VMBVInterna	14.286% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	85.714%
VMCAS	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
VMCapaSrv	96.897% (96.897%)	3.103% (3.103%)	0.000% (0.000%)	0.000%
VMCobis01	99.752% (99.752%)	0.248% (0.248%)	0.000% (0.000%)	0.000%
VMCobis02	99.752% (99.752%)	0.248% (0.248%)	0.000% (0.000%)	0.000%
VMCobis06	99.747% (99.747%)	0.253% (0.253%)	0.000% (0.000%)	0.000%
VMCobis07	99.744% (99.744%)	0.256% (0.256%)	0.000% (0.000%)	0.000%
VMCobis08	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
VMCobis10	96.891% (96.891%)	3.109% (3.109%)	0.000% (0.000%)	0.000%
VMColasWeb	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
VMCompeOld	96.896% (96.896%)	3.104% (3.104%)	0.000% (0.000%)	0.000%
VMDatos	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
VMEstadosDeCuenta	96.892% (96.892%)	3.108% (3.108%)	0.000% (0.000%)	0.000%
VMFTP	99.743% (99.743%)	0.257% (0.257%)	0.000% (0.000%)	0.000%
VMImageDB	99.975% (99.975%)	0.025% (0.025%)	0.000% (0.000%)	0.000%
VMImageSRV	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
VMImageWebSrv	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
VMInfoDC2	99.766% (99.766%)	0.234% (0.234%)	0.000% (0.000%)	0.000%
VMIntranet	97.170% (97.170%)	2.830% (2.830%)	0.000% (0.000%)	0.000%
VMNetDesa	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
VMPlusACRMalertas	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
VMPlusACRManls01	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
VMPlusACRManls02	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
VMPlusACRMworkflow	97.551% (97.551%)	2.449% (2.449%)	0.000% (0.000%)	0.000%
VMQlickView	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
VMQlickView02	97.170% (97.170%)	2.830% (2.830%)	0.000% (0.000%)	0.000%
VMRepoDigital	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
VMRiesgos	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
VMSQRSRV	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
VMSeguros-DC	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
VMSegurosSP	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
VMServiciosWeb	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
VMSourceSafe	97.177% (97.177%)	2.823% (2.823%)	0.000% (0.000%)	0.000%
VMSuministros2	97.177% (97.177%)	2.823% (2.823%)	0.000% (0.000%)	0.000%
VMWebServicios	99.746% (99.746%)	0.254% (0.254%)	0.000% (0.000%)	0.000%
VMWinPHP	100.000% (100.000%)	0.000% (0.000%)	0.000% (0.000%)	0.000%
age001	96.177% (96.177%)	3.551% (3.551%)	0.272% (0.272%)	0.000%
age001b	99.621% (99.621%)	0.109% (0.109%)	0.271% (0.271%)	0.000%
age002	99.704% (99.704%)	0.026% (0.026%)	0.271% (0.271%)	0.000%
age003	97.225% (97.225%)	2.504% (2.504%)	0.271% (0.271%)	0.000%
age003b	98.171% (98.171%)	1.558% (1.558%)	0.271% (0.271%)	0.000%
age004	99.703% (99.703%)	0.026% (0.026%)	0.271% (0.271%)	0.000%
age005	99.498% (99.498%)	0.231% (0.231%)	0.271% (0.271%)	0.000%
age005b	97.256% (97.256%)	2.473% (2.473%)	0.271% (0.271%)	0.000%
age006	98.500% (98.500%)	1.229% (1.229%)	0.271% (0.271%)	0.000%
age006b	98.855% (98.855%)	0.875% (0.875%)	0.271% (0.271%)	0.000%
age007	99.617% (99.617%)	0.113% (0.113%)	0.271% (0.271%)	0.000%
age007b	99.124% (99.124%)	0.876% (0.876%)	0.000% (0.000%)	0.000%
age008	99.706% (99.706%)	0.023% (0.023%)	0.270% (0.270%)	0.000%
age009	96.716% (96.716%)	3.014% (3.014%)	0.270% (0.270%)	0.000%
age010	99.493% (99.493%)	0.237% (0.237%)	0.270% (0.270%)	0.000%
age011	94.764% (94.764%)	4.966% (4.966%)	0.270% (0.270%)	0.000%
age012	99.173% (99.173%)	0.557% (0.557%)	0.270% (0.270%)	0.000%
age013	99.705% (99.705%)	0.025% (0.025%)	0.270% (0.270%)	0.000%
age014	98.547% (98.547%)	1.182% (1.182%)	0.270% (0.270%)	0.000%
age015	99.532% (99.532%)	0.198% (0.198%)	0.270% (0.270%)	0.000%
age016	99.557% (99.557%)	0.173% (0.173%)	0.270% (0.270%)	0.000%
age017	99.730% (99.730%)	0.000% (0.000%)	0.270% (0.270%)	0.000%
age018	96.102% (96.102%)	3.628% (3.628%)	0.270% (0.270%)	0.000%
age019	99.266% (99.266%)	0.464% (0.464%)	0.270% (0.270%)	0.000%
age020	98.696% (98.696%)	1.034% (1.034%)	0.270% (0.270%)	0.000%
age021	96.047% (96.047%)	3.681% (3.681%)	0.272% (0.272%)	0.000%
age021b	0.000% (0.000%)	99.728% (99.728%)	0.272% (0.272%)	0.000%
age022	98.669% (98.669%)	1.060% (1.060%)	0.270% (0.270%)	0.000%
age022b	98.146% (98.146%)	1.583% (1.583%)	0.270% (0.270%)	0.000%
age023	99.730% (99.730%)	0.000% (0.000%)	0.270% (0.270%)	0.000%
age024	99.730% (99.730%)	0.000% (0.000%)	0.270% (0.270%)	0.000%
age025	99.730% (99.730%)	0.000% (0.000%)	0.270% (0.270%)	0.000%
age026	99.635% (99.635%)	0.095% (0.095%)	0.270% (0.270%)	0.000%
age027	99.380% (99.380%)	0.349% (0.349%)	0.270% (0.270%)	0.000%
age028	99.532% (99.532%)	0.198% (0.198%)	0.270% (0.270%)	0.000%
age029	99.568% (99.568%)	0.162% (0.162%)	0.270% (0.270%)	0.000%
age030	98.729% (98.729%)	1.000% (1.000%)	0.270% (0.270%)	0.000%
age031	99.729% (99.729%)	0.000% (0.000%)	0.271% (0.271%)	0.000%
age032	99.603% (99.603%)	0.126% (0.126%)	0.271% (0.271%)	0.000%
age033	99.644% (99.644%)	0.084% (0.084%)	0.272% (0.272%)	0.000%
age034	99.729% (99.729%)	0.000% (0.000%)	0.271% (0.271%)	0.000%
age035	99.406% (99.406%)	0.323% (0.323%)	0.271% (0.271%)	0.000%
age036	99.692% (99.692%)	0.037% (0.037%)	0.271% (0.271%)	0.000%
age036b	99.729% (99.729%)	0.000% (0.000%)	0.271% (0.271%)	0.000%
age037	99.694% (99.694%)	0.036% (0.036%)	0.271% (0.271%)	0.000%
age038	99.730% (99.730%)	0.000% (0.000%)	0.270% (0.270%)	0.000%
age039	99.028% (99.028%)	0.702% (0.702%)	0.270% (0.270%)	0.000%
age040	99.510% (99.510%)	0.220% (0.220%)	0.270% (0.270%)	0.000%
age041	99.704% (99.704%)	0.026% (0.026%)	0.270% (0.270%)	0.000%
age042	99.729% (99.729%)	0.000% (0.000%)	0.271% (0.271%)	0.000%
age043	99.480% (99.480%)	0.250% (0.250%)	0.271% (0.271%)	0.000%
age044	99.646% (99.646%)	0.084% (0.084%)	0.270% (0.270%)	0.000%
age045	98.562% (98.562%)	1.167% (1.167%)	0.271% (0.271%)	0.000%
age046	99.631% (99.631%)	0.098% (0.098%)	0.271% (0.271%)	0.000%
age047	99.729% (99.729%)	0.000% (0.000%)	0.271% (0.271%)	0.000%
age048	99.514% (99.514%)	0.215% (0.215%)	0.271% (0.271%)	0.000%
age049	98.715% (98.715%)	1.015% (1.015%)	0.271% (0.271%)	0.000%
age049b	99.606% (99.606%)	0.124% (0.124%)	0.271% (0.271%)	0.000%
age050	99.028% (99.028%)	0.700% (0.700%)	0.272% (0.272%)	0.000%
age051	99.152% (99.152%)	0.578% (0.578%)	0.271% (0.271%)	0.000%
age052	98.052% (98.052%)	1.676% (1.676%)	0.271% (0.271%)	0.000%
age053	99.456% (99.456%)	0.273% (0.273%)	0.271% (0.271%)	0.000%
age054	97.495% (97.495%)	2.235% (2.235%)	0.270% (0.270%)	0.000%
age055	99.633% (99.633%)	0.096% (0.096%)	0.271% (0.271%)	0.000%
age056	99.708% (99.708%)	0.021% (0.021%)	0.271% (0.271%)	0.000%
age057	99.645% (99.645%)	0.085% (0.085%)	0.271% (0.271%)	0.000%
age058	99.644% (99.644%)	0.086% (0.086%)	0.270% (0.270%)	0.000%
age059	99.495% (99.495%)	0.234% (0.234%)	0.271% (0.271%)	0.000%
age060	99.681% (99.681%)	0.049% (0.049%)	0.270% (0.270%)	0.000%
age061	98.993% (98.993%)	0.736% (0.736%)	0.271% (0.271%)	0.000%
age062	36.885% (36.885%)	62.841% (62.841%)	0.274% (0.274%)	0.000%
age063	99.640% (99.640%)	0.089% (0.089%)	0.271% (0.271%)	0.000%
age064	99.690% (99.690%)	0.039% (0.039%)	0.270% (0.270%)	0.000%
age065	99.577% (99.577%)	0.152% (0.152%)	0.271% (0.271%)	0.000%
age066	96.119% (96.119%)	3.610% (3.610%)	0.271% (0.271%)	0.000%
age067	99.589% (99.589%)	0.140% (0.140%)	0.271% (0.271%)	0.000%
age068	99.667% (99.667%)	0.062% (0.062%)	0.271% (0.271%)	0.000%
age069	99.654% (99.654%)	0.076% (0.076%)	0.271% (0.271%)	0.000%
age070	99.492% (99.492%)	0.237% (0.237%)	0.271% (0.271%)	0.000%
age071	95.943% (95.943%)	4.057% (4.057%)	0.000% (0.000%)	0.000%
age072	99.717% (99.717%)	0.012% (0.012%)	0.271% (0.271%)	0.000%
age073	97.858% (97.858%)	1.871% (1.871%)	0.271% (0.271%)	0.000%
age074	99.690% (99.690%)	0.040% (0.040%)	0.271% (0.271%)	0.000%
age075	98.945% (98.945%)	0.784% (0.784%)	0.271% (0.271%)	0.000%
age076	99.542% (99.542%)	0.188% (0.188%)	0.270% (0.270%)	0.000%
age077	99.225% (99.225%)	0.505% (0.505%)	0.271% (0.271%)	0.000%
age078	99.650% (99.650%)	0.078% (0.078%)	0.272% (0.272%)	0.000%
age078b	36.939% (36.939%)	62.717% (62.717%)	0.344% (0.344%)	0.000%
age079	98.900% (98.900%)	0.830% (0.830%)	0.271% (0.271%)	0.000%
age080	88.806% (88.806%)	10.924% (10.924%)	0.271% (0.271%)	0.000%
age080b	99.713% (99.713%)	0.016% (0.016%)	0.271% (0.271%)	0.000%
age081	99.444% (99.444%)	0.285% (0.285%)	0.270% (0.270%)	0.000%
age082	99.630% (99.630%)	0.100% (0.100%)	0.270% (0.270%)	0.000%
age083	99.554% (99.554%)	0.175% (0.175%)	0.271% (0.271%)	0.000%
age084	98.925% (98.925%)	0.804% (0.804%)	0.271% (0.271%)	0.000%
age085	99.388% (99.388%)	0.341% (0.341%)	0.271% (0.271%)	0.000%
age086	99.653% (99.653%)	0.076% (0.076%)	0.270% (0.270%)	0.000%
age087	99.253% (99.253%)	0.476% (0.476%)	0.271% (0.271%)	0.000%
age088	98.050% (98.050%)	1.680% (1.680%)	0.271% (0.271%)	0.000%
age089	99.540% (99.540%)	0.189% (0.189%)	0.271% (0.271%)	0.000%
age090	99.589% (99.589%)	0.141% (0.141%)	0.271% (0.271%)	0.000%
age090b	99.709% (99.709%)	0.020% (0.020%)	0.271% (0.271%)	0.000%
age091	98.374% (98.374%)	1.355% (1.355%)	0.271% (0.271%)	0.000%
age092	99.722% (99.722%)	0.007% (0.007%)	0.271% (0.271%)	0.000%
age092b	99.719% (99.719%)	0.011% (0.011%)	0.271% (0.271%)	0.000%
age093	92.743% (92.743%)	6.986% (6.986%)	0.271% (0.271%)	0.000%
age094	99.548% (99.548%)	0.181% (0.181%)	0.271% (0.271%)	0.000%
age095	99.627% (99.627%)	0.102% (0.102%)	0.271% (0.271%)	0.000%
age095b	97.438% (97.438%)	2.291% (2.291%)	0.271% (0.271%)	0.000%
age096	99.729% (99.729%)	0.000% (0.000%)	0.271% (0.271%)	0.000%
age097	99.632% (99.632%)	0.097% (0.097%)	0.271% (0.271%)	0.000%
age098	99.310% (99.310%)	0.419% (0.419%)	0.271% (0.271%)	0.000%
age099	99.712% (99.712%)	0.017% (0.017%)	0.271% (0.271%)	0.000%
age100	99.447% (99.447%)	0.279% (0.279%)	0.274% (0.274%)	0.000%
age101	98.565% (98.565%)	1.164% (1.164%)	0.271% (0.271%)	0.000%
age102	99.701% (99.701%)	0.028% (0.028%)	0.271% (0.271%)	0.000%
age103	96.578% (96.578%)	3.151% (3.151%)	0.271% (0.271%)	0.000%
age104	35.929% (35.929%)	63.798% (63.798%)	0.274% (0.274%)	0.000%
age105	99.638% (99.638%)	0.091% (0.091%)	0.271% (0.271%)	0.000%
age106	99.421% (99.421%)	0.309% (0.309%)	0.271% (0.271%)	0.000%
age107	85.397% (85.397%)	14.603% (14.603%)	0.000% (0.000%)	0.000%
age108	95.910% (95.910%)	3.817% (3.817%)	0.274% (0.274%)	0.000%
age109	99.729% (99.729%)	0.000% (0.000%)	0.271% (0.271%)	0.000%
age109b	99.611% (99.611%)	0.118% (0.118%)	0.271% (0.271%)	0.000%
age110	99.506% (99.506%)	0.224% (0.224%)	0.271% (0.271%)	0.000%
age111	97.933% (97.933%)	1.796% (1.796%)	0.271% (0.271%)	0.000%
age112	99.699% (99.699%)	0.029% (0.029%)	0.272% (0.272%)	0.000%
age113	98.260% (98.260%)	1.468% (1.468%)	0.272% (0.272%)	0.000%
age114	96.286% (96.286%)	3.443% (3.443%)	0.271% (0.271%)	0.000%
age114b	99.192% (99.192%)	0.538% (0.538%)	0.271% (0.271%)	0.000%
age115	99.658% (99.658%)	0.071% (0.071%)	0.271% (0.271%)	0.000%
age116	84.810% (84.810%)	14.917% (14.917%)	0.274% (0.274%)	0.000%
age117	98.680% (98.680%)	1.047% (1.047%)	0.274% (0.274%)	0.000%
age118	99.729% (99.729%)	0.000% (0.000%)	0.271% (0.271%)	0.000%
age119	99.687% (99.687%)	0.043% (0.043%)	0.271% (0.271%)	0.000%
age120	96.405% (96.405%)	3.324% (3.324%)	0.271% (0.271%)	0.000%
age121	99.630% (99.630%)	0.100% (0.100%)	0.271% (0.271%)	0.000%
age121b	99.642% (99.642%)	0.087% (0.087%)	0.271% (0.271%)	0.000%
age122	99.530% (99.530%)	0.199% (0.199%)	0.271% (0.271%)	0.000%
age123	99.372% (99.372%)	0.357% (0.357%)	0.271% (0.271%)	0.000%
age124	99.695% (99.695%)	0.034% (0.034%)	0.271% (0.271%)	0.000%
age124b	99.611% (99.611%)	0.118% (0.118%)	0.271% (0.271%)	0.000%
age125	92.076% (92.076%)	7.654% (7.654%)	0.271% (0.271%)	0.000%
age126	99.250% (99.250%)	0.480% (0.480%)	0.271% (0.271%)	0.000%
age127	99.408% (99.408%)	0.321% (0.321%)	0.271% (0.271%)	0.000%
age128	99.378% (99.378%)	0.351% (0.351%)	0.271% (0.271%)	0.000%
age129	99.159% (99.159%)	0.571% (0.571%)	0.271% (0.271%)	0.000%
age130	96.441% (96.441%)	3.289% (3.289%)	0.271% (0.271%)	0.000%
age131	99.237% (99.237%)	0.492% (0.492%)	0.271% (0.271%)	0.000%
age132	98.536% (98.536%)	1.193% (1.193%)	0.271% (0.271%)	0.000%
age133	99.685% (99.685%)	0.044% (0.044%)	0.271% (0.271%)	0.000%
age134	99.673% (99.673%)	0.056% (0.056%)	0.271% (0.271%)	0.000%
age135	99.704% (99.704%)	0.296% (0.296%)	0.000% (0.000%)	0.000%
age136	99.535% (99.535%)	0.195% (0.195%)	0.270% (0.270%)	0.000%
age137	96.708% (96.708%)	3.022% (3.022%)	0.270% (0.270%)	0.000%
age138	94.781% (94.781%)	4.946% (4.946%)	0.273% (0.273%)	0.000%
age138b	99.715% (99.715%)	0.015% (0.015%)	0.270% (0.270%)	0.000%
age139	99.294% (99.294%)	0.436% (0.436%)	0.270% (0.270%)	0.000%
age139b	99.718% (99.718%)	0.011% (0.011%)	0.270% (0.270%)	0.000%
age140	99.483% (99.483%)	0.247% (0.247%)	0.270% (0.270%)	0.000%
age140b	99.668% (99.668%)	0.061% (0.061%)	0.270% (0.270%)	0.000%
age141	99.654% (99.654%)	0.075% (0.075%)	0.271% (0.271%)	0.000%
age142	99.714% (99.714%)	0.015% (0.015%)	0.270% (0.270%)	0.000%
age143	98.957% (98.957%)	0.772% (0.772%)	0.270% (0.270%)	0.000%
age144	98.080% (98.080%)	1.650% (1.650%)	0.270% (0.270%)	0.000%
age145	99.602% (99.602%)	0.128% (0.128%)	0.270% (0.270%)	0.000%
age146	99.640% (99.640%)	0.089% (0.089%)	0.270% (0.270%)	0.000%
age147	98.777% (98.777%)	0.953% (0.953%)	0.270% (0.270%)	0.000%
age148	99.404% (99.404%)	0.325% (0.325%)	0.270% (0.270%)	0.000%
age149	99.665% (99.665%)	0.064% (0.064%)	0.270% (0.270%)	0.000%
age150	97.786% (97.786%)	1.944% (1.944%)	0.270% (0.270%)	0.000%
age151	99.724% (99.724%)	0.005% (0.005%)	0.271% (0.271%)	0.000%
age151b	99.685% (99.685%)	0.045% (0.045%)	0.271% (0.271%)	0.000%
age152	99.314% (99.314%)	0.416% (0.416%)	0.271% (0.271%)	0.000%
age153	99.603% (99.603%)	0.126% (0.126%)	0.271% (0.271%)	0.000%
age153b	99.729% (99.729%)	0.000% (0.000%)	0.271% (0.271%)	0.000%
age154	98.952% (98.952%)	0.777% (0.777%)	0.271% (0.271%)	0.000%
age155	99.513% (99.513%)	0.216% (0.216%)	0.271% (0.271%)	0.000%
age156	99.484% (99.484%)	0.245% (0.245%)	0.271% (0.271%)	0.000%
age157	99.592% (99.592%)	0.137% (0.137%)	0.271% (0.271%)	0.000%
age158	98.208% (98.208%)	1.521% (1.521%)	0.271% (0.271%)	0.000%
age159	99.677% (99.677%)	0.053% (0.053%)	0.271% (0.271%)	0.000%
age160	99.644% (99.644%)	0.085% (0.085%)	0.271% (0.271%)	0.000%
age161	99.703% (99.703%)	0.026% (0.026%)	0.271% (0.271%)	0.000%
age162	99.704% (99.704%)	0.025% (0.025%)	0.271% (0.271%)	0.000%
age163	99.354% (99.354%)	0.376% (0.376%)	0.271% (0.271%)	0.000%
age164	99.729% (99.729%)	0.000% (0.000%)	0.271% (0.271%)	0.000%
age164b	99.711% (99.711%)	0.018% (0.018%)	0.271% (0.271%)	0.000%
age165	99.730% (99.730%)	0.000% (0.000%)	0.270% (0.270%)	0.000%
age166	93.769% (93.769%)	5.961% (5.961%)	0.270% (0.270%)	0.000%
age167	99.697% (99.697%)	0.031% (0.031%)	0.272% (0.272%)	0.000%
age167b	99.305% (99.305%)	0.425% (0.425%)	0.270% (0.270%)	0.000%
age168	99.576% (99.576%)	0.154% (0.154%)	0.270% (0.270%)	0.000%
age169	99.685% (99.685%)	0.044% (0.044%)	0.270% (0.270%)	0.000%
age170	99.703% (99.703%)	0.027% (0.027%)	0.270% (0.270%)	0.000%
age171	36.179% (36.179%)	63.548% (63.548%)	0.273% (0.273%)	0.000%
age172	98.809% (98.809%)	0.920% (0.920%)	0.271% (0.271%)	0.000%
age173	99.729% (99.729%)	0.000% (0.000%)	0.271% (0.271%)	0.000%
age174	99.642% (99.642%)	0.087% (0.087%)	0.271% (0.271%)	0.000%
age175	99.729% (99.729%)	0.000% (0.000%)	0.271% (0.271%)	0.000%
age176	99.224% (99.224%)	0.506% (0.506%)	0.271% (0.271%)	0.000%
age177	98.472% (98.472%)	1.257% (1.257%)	0.271% (0.271%)	0.000%
age178	99.623% (99.623%)	0.106% (0.106%)	0.271% (0.271%)	0.000%
age178b	99.687% (99.687%)	0.042% (0.042%)	0.271% (0.271%)	0.000%
age178c	99.645% (99.645%)	0.084% (0.084%)	0.271% (0.271%)	0.000%
age179	99.602% (99.602%)	0.128% (0.128%)	0.271% (0.271%)	0.000%
age180	99.729% (99.729%)	0.000% (0.000%)	0.271% (0.271%)	0.000%
age181	98.980% (98.980%)	0.750% (0.750%)	0.270% (0.270%)	0.000%
age182	98.141% (98.141%)	1.589% (1.589%)	0.271% (0.271%)	0.000%
age183	99.675% (99.675%)	0.054% (0.054%)	0.271% (0.271%)	0.000%
age184	99.512% (99.512%)	0.217% (0.217%)	0.271% (0.271%)	0.000%
age184b	99.487% (99.487%)	0.242% (0.242%)	0.271% (0.271%)	0.000%
age185	99.704% (99.704%)	0.025% (0.025%)	0.271% (0.271%)	0.000%
age186	99.662% (99.662%)	0.067% (0.067%)	0.271% (0.271%)	0.000%
age187	99.729% (99.729%)	0.000% (0.000%)	0.271% (0.271%)	0.000%
age188	99.662% (99.662%)	0.068% (0.068%)	0.271% (0.271%)	0.000%
age189	99.729% (99.729%)	0.000% (0.000%)	0.271% (0.271%)	0.000%
age190	99.703% (99.703%)	0.026% (0.026%)	0.271% (0.271%)	0.000%
age191	99.549% (99.549%)	0.180% (0.180%)	0.270% (0.270%)	0.000%
age192	99.730% (99.730%)	0.270% (0.270%)	0.000% (0.000%)	0.000%
age193	99.365% (99.365%)	0.364% (0.364%)	0.270% (0.270%)	0.000%
age194	99.706% (99.706%)	0.023% (0.023%)	0.270% (0.270%)	0.000%
age195	99.624% (99.624%)	0.105% (0.105%)	0.271% (0.271%)	0.000%
age196	97.663% (97.663%)	2.066% (2.066%)	0.271% (0.271%)	0.000%
age197	96.270% (96.270%)	3.460% (3.460%)	0.271% (0.271%)	0.000%
age198	99.729% (99.729%)	0.000% (0.000%)	0.271% (0.271%)	0.000%
age199	99.279% (99.279%)	0.450% (0.450%)	0.271% (0.271%)	0.000%
age200	99.454% (99.454%)	0.275% (0.275%)	0.271% (0.271%)	0.000%
age201	99.600% (99.600%)	0.130% (0.130%)	0.271% (0.271%)	0.000%
age202	99.729% (99.729%)	0.000% (0.000%)	0.271% (0.271%)	0.000%
age202b	98.121% (98.121%)	1.608% (1.608%)	0.271% (0.271%)	0.000%
age203	99.190% (99.190%)	0.539% (0.539%)	0.271% (0.271%)	0.000%
age203b	34.093% (34.093%)	65.637% (65.637%)	0.271% (0.271%)	0.000%
age204	99.517% (99.517%)	0.212% (0.212%)	0.271% (0.271%)	0.000%
age205	99.716% (99.716%)	0.014% (0.014%)	0.271% (0.271%)	0.000%
age206	99.403% (99.403%)	0.326% (0.326%)	0.271% (0.271%)	0.000%
age207	99.729% (99.729%)	0.000% (0.000%)	0.271% (0.271%)	0.000%
age208	98.126% (98.126%)	1.601% (1.601%)	0.273% (0.273%)	0.000%
age209	99.291% (99.291%)	0.438% (0.438%)	0.271% (0.271%)	0.000%
age210	99.552% (99.552%)	0.175% (0.175%)	0.273% (0.273%)	0.000%
age211	99.592% (99.592%)	0.138% (0.138%)	0.271% (0.271%)	0.000%
age212	99.626% (99.626%)	0.103% (0.103%)	0.271% (0.271%)	0.000%
age212b	99.665% (99.665%)	0.065% (0.065%)	0.271% (0.271%)	0.000%
age213	99.299% (99.299%)	0.430% (0.430%)	0.271% (0.271%)	0.000%
age214	32.225% (32.225%)	67.503% (67.503%)	0.273% (0.273%)	0.000%
age216	99.206% (99.206%)	0.523% (0.523%)	0.271% (0.271%)	0.000%
age218	99.685% (99.685%)	0.044% (0.044%)	0.271% (0.271%)	0.000%
age219	99.703% (99.703%)	0.027% (0.027%)	0.271% (0.271%)	0.000%
age220	99.550% (99.550%)	0.179% (0.179%)	0.271% (0.271%)	0.000%
age221	99.653% (99.653%)	0.076% (0.076%)	0.271% (0.271%)	0.000%
age222	99.502% (99.502%)	0.228% (0.228%)	0.270% (0.270%)	0.000%
age223	99.668% (99.668%)	0.061% (0.061%)	0.271% (0.271%)	0.000%
age224	88.708% (88.708%)	11.022% (11.022%)	0.271% (0.271%)	0.000%
age225	99.383% (99.383%)	0.346% (0.346%)	0.271% (0.271%)	0.000%
age225b	95.047% (95.047%)	4.682% (4.682%)	0.271% (0.271%)	0.000%
age226	99.640% (99.640%)	0.090% (0.090%)	0.271% (0.271%)	0.000%
age227	99.718% (99.718%)	0.011% (0.011%)	0.271% (0.271%)	0.000%
age227b	0.000% (0.000%)	99.726% (99.726%)	0.274% (0.274%)	0.000%
age228	98.809% (98.809%)	0.921% (0.921%)	0.271% (0.271%)	0.000%
age228b	99.726% (99.726%)	0.003% (0.003%)	0.271% (0.271%)	0.000%
age229	99.729% (99.729%)	0.000% (0.000%)	0.271% (0.271%)	0.000%
age229b	99.701% (99.701%)	0.029% (0.029%)	0.271% (0.271%)	0.000%
age230	99.706% (99.706%)	0.023% (0.023%)	0.271% (0.271%)	0.000%
