HOST_NAME, TIME_UP_SCHEDULED, PERCENT_TIME_UP_SCHEDULED, PERCENT_KNOWN_TIME_UP_SCHEDULED, TIME_UP_UNSCHEDULED, PERCENT_TIME_UP_UNSCHEDULED, PERCENT_KNOWN_TIME_UP_UNSCHEDULED, TOTAL_TIME_UP, PERCENT_TOTAL_TIME_UP, PERCENT_KNOWN_TIME_UP, TIME_DOWN_SCHEDULED, PERCENT_TIME_DOWN_SCHEDULED, PERCENT_KNOWN_TIME_DOWN_SCHEDULED, TIME_DOWN_UNSCHEDULED, PERCENT_TIME_DOWN_UNSCHEDULED, PERCENT_KNOWN_TIME_DOWN_UNSCHEDULED, TOTAL_TIME_DOWN, PERCENT_TOTAL_TIME_DOWN, PERCENT_KNOWN_TIME_DOWN, TIME_UNREACHABLE_SCHEDULED, PERCENT_TIME_UNREACHABLE_SCHEDULED, PERCENT_KNOWN_TIME_UNREACHABLE_SCHEDULED, TIME_UNREACHABLE_UNSCHEDULED, PERCENT_TIME_UNREACHABLE_UNSCHEDULED, PERCENT_KNOWN_TIME_UNREACHABLE_UNSCHEDULED, TOTAL_TIME_UNREACHABLE, PERCENT_TOTAL_TIME_UNREACHABLE, PERCENT_KNOWN_TIME_UNREACHABLE, TIME_UNDETERMINED_NOT_RUNNING, PERCENT_TIME_UNDETERMINED_NOT_RUNNING, TIME_UNDETERMINED_NO_DATA, PERCENT_TIME_UNDETERMINED_NO_DATA, TOTAL_TIME_UNDETERMINED, PERCENT_TOTAL_TIME_UNDETERMINED
"VMCobis11", 0, 0.000%, 0.000%, 2007068, 99.914%, 99.914%, 2007068, 99.914%, 99.914%, 0, 0.000%, 0.000%, 1732, 0.086%, 0.086%, 1732, 0.086%, 0.086%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0, 0.000%, 0, 0.000%
"VMCobis12", 0, 0.000%, 0.000%, 2006947, 99.908%, 99.908%, 2006947, 99.908%, 99.908%, 0, 0.000%, 0.000%, 1853, 0.092%, 0.092%, 1853, 0.092%, 0.092%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0, 0.000%, 0, 0.000%
"VMCobis13", 0, 0.000%, 0.000%, 2003160, 99.719%, 99.719%, 2003160, 99.719%, 99.719%, 0, 0.000%, 0.000%, 5640, 0.281%, 0.281%, 5640, 0.281%, 0.281%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0, 0.000%, 0, 0.000%
"VMCobis14", 0, 0.000%, 0.000%, 2007272, 99.924%, 99.924%, 2007272, 99.924%, 99.924%, 0, 0.000%, 0.000%, 1528, 0.076%, 0.076%, 1528, 0.076%, 0.076%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0, 0.000%, 0, 0.000%
"VMCobis15", 0, 0.000%, 0.000%, 2007077, 99.914%, 99.914%, 2007077, 99.914%, 99.914%, 0, 0.000%, 0.000%, 1723, 0.086%, 0.086%, 1723, 0.086%, 0.086%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0, 0.000%, 0, 0.000%
"VMColasWeb", 0, 0.000%, 0.000%, 2003297, 99.726%, 99.726%, 2003297, 99.726%, 99.726%, 0, 0.000%, 0.000%, 5503, 0.274%, 0.274%, 5503, 0.274%, 0.274%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0, 0.000%, 0, 0.000%
"VMCompeOld", 0, 0.000%, 0.000%, 2005148, 99.818%, 99.818%, 2005148, 99.818%, 99.818%, 0, 0.000%, 0.000%, 3652, 0.182%, 0.182%, 3652, 0.182%, 0.182%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0, 0.000%, 0, 0.000%
"VMDatos", 0, 0.000%, 0.000%, 2007440, 99.932%, 99.932%, 2007440, 99.932%, 99.932%, 0, 0.000%, 0.000%, 1360, 0.068%, 0.068%, 1360, 0.068%, 0.068%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0, 0.000%, 0, 0.000%
"VMDatosDB", 0, 0.000%, 0.000%, 2005119, 99.817%, 99.817%, 2005119, 99.817%, 99.817%, 0, 0.000%, 0.000%, 3681, 0.183%, 0.183%, 3681, 0.183%, 0.183%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0, 0.000%, 0, 0.000%
"VMDatosLight", 0, 0.000%, 0.000%, 2003893, 99.756%, 99.756%, 2003893, 99.756%, 99.756%, 0, 0.000%, 0.000%, 4907, 0.244%, 0.244%, 4907, 0.244%, 0.244%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0, 0.000%, 0, 0.000%
"VMEstadosDeCuenta", 0, 0.000%, 0.000%, 2004505, 99.786%, 99.786%, 2004505, 99.786%, 99.786%, 0, 0.000%, 0.000%, 4295, 0.214%, 0.214%, 4295, 0.214%, 0.214%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0, 0.000%, 0, 0.000%
"VMFHA", 0, 0.000%, 0.000%, 2003174, 99.720%, 99.720%, 2003174, 99.720%, 99.720%, 0, 0.000%, 0.000%, 5626, 0.280%, 0.280%, 5626, 0.280%, 0.280%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0, 0.000%, 0, 0.000%
"VMFTP", 0, 0.000%, 0.000%, 2001762, 99.650%, 99.650%, 2001762, 99.650%, 99.650%, 0, 0.000%, 0.000%, 7038, 0.350%, 0.350%, 7038, 0.350%, 0.350%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0, 0.000%, 0, 0.000%
"VMFTPMunis", 0, 0.000%, 0.000%, 2005121, 99.817%, 99.817%, 2005121, 99.817%, 99.817%, 0, 0.000%, 0.000%, 3679, 0.183%, 0.183%, 3679, 0.183%, 0.183%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0, 0.000%, 0, 0.000%
"VMGestionRiesgo", 0, 0.000%, 0.000%, 1996102, 99.368%, 99.368%, 1996102, 99.368%, 99.368%, 0, 0.000%, 0.000%, 12698, 0.632%, 0.632%, 12698, 0.632%, 0.632%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0, 0.000%, 0, 0.000%
"VMImageDB", 0, 0.000%, 0.000%, 1982465, 98.689%, 98.689%, 1982465, 98.689%, 98.689%, 0, 0.000%, 0.000%, 26335, 1.311%, 1.311%, 26335, 1.311%, 1.311%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0.000%, 0, 0.000%, 0, 0.000%, 0, 0.000%
