en_proveedor	en_remoto	en_estado	en_nagios	rm_descripcion	rm_region	en_codigo_proveedor	en_fecha_activacion	sl_uptime	sl_downtime	sl_unreachable	sl_undetermined	en_costo_mensual
TIGO	234	7	age234	VILLA HERMOSA	19	721	2002-09-18 00:00:00	99.334	0.666	0	0	190.40
CLARO	235	7	age235	CENTRO COMERCIAL MONSERRAT	25	8902012	2013-08-06 00:00:00	98.82	1.18	0	0	133.00
TIGO	236	7	age236	REGISTRO MERCANTIL	27	1460	2003-04-15 00:00:00	94.159	5.841	0	0	190.40
CLARO	237	7	age237	BOCA DEL MONTE	19	8900242	2002-12-05 00:00:00	99.694	0.306	0	0	133.00
CLARO	238	7	age238	ZACUALPA	31	8900530	2007-10-03 00:00:00	99.962	0.038	0	0	133.00
CLARO	240	7	age240	SANTA ANA HUISTA	14	8901210	2012-07-20 00:00:00	99.582	0.418	0	0	133.00
CLARO	241	7	age241	RIO HONDO	7	8900642	2008-09-09 00:00:00	99.905	0.095	0	0	133.00
TIGO	243	7	age243	LANQUIN	10	71707	2014-12-16 00:00:00	99.354	0.646	0	0	190.40
CLARO	244	7	age244	HOSPITAL ROOSEVELT	28	8900243	2003-01-21 00:00:00	99.585	0.415	0	0	133.00
TIGO	245	7	age245	MINISTERIO PUBLICO	27	1459	2003-04-15 00:00:00	99.78	0.22	0	0	190.40
TIGO	246	7	age246	LOS ENCUENTROS	17	2107	2003-12-12 00:00:00	99.357	0.643	0	0	190.40
TIGO	247	7	age247	ZONA FRANCA	22	1198	2003-01-14 00:00:00	99.932	0.068	0	0	190.40
TIGO	248	7	age248	AUTOBANCO - QUICHE	12	2110	2003-12-12 00:00:00	99.591	0.409	0	0	190.40
